Date,Close,Tickers
3/28/16,13.62,BAC
3/29/16,13.42,BAC
3/30/16,13.48,BAC
3/31/16,13.52,BAC
4/1/16,13.56,BAC
4/4/16,13.51,BAC
4/5/16,13.19,BAC
4/6/16,13.27,BAC
4/7/16,12.85,BAC
4/8/16,12.88,BAC
4/11/16,12.97,BAC
4/12/16,13.27,BAC
4/13/16,13.79,BAC
4/14/16,14.14,BAC
4/15/16,14.0,BAC
4/18/16,14.17,BAC
4/19/16,14.45,BAC
4/20/16,14.93,BAC
4/21/16,14.9,BAC
4/22/16,15.11,BAC
4/25/16,14.96,BAC
4/26/16,15.09,BAC
4/27/16,15.02,BAC
4/28/16,14.79,BAC
4/29/16,14.56,BAC
5/2/16,14.77,BAC
5/3/16,14.36,BAC
5/4/16,14.13,BAC
5/5/16,14.05,BAC
5/6/16,14.11,BAC
5/9/16,13.99,BAC
5/10/16,14.3,BAC
5/11/16,14.2,BAC
5/12/16,14.14,BAC
5/13/16,13.88,BAC
5/16/16,13.93,BAC
5/17/16,14.01,BAC
5/18/16,14.69,BAC
5/19/16,14.53,BAC
5/20/16,14.52,BAC
5/23/16,14.47,BAC
5/24/16,14.68,BAC
5/25/16,14.92,BAC
5/26/16,14.7,BAC
5/27/16,14.88,BAC
5/31/16,14.79,BAC
6/1/16,14.86,BAC
6/2/16,14.94,BAC
6/3/16,14.42,BAC
6/6/16,14.52,BAC
6/7/16,14.35,BAC
6/8/16,14.43,BAC
6/9/16,14.19,BAC
6/10/16,13.83,BAC
6/13/16,13.6,BAC
6/14/16,13.26,BAC
6/15/16,13.34,BAC
6/16/16,13.31,BAC
6/17/16,13.4,BAC
6/20/16,13.54,BAC
6/21/16,13.62,BAC
6/22/16,13.61,BAC
6/23/16,14.04,BAC
6/24/16,13.0,BAC
6/27/16,12.18,BAC
6/28/16,12.7,BAC
6/29/16,13.19,BAC
6/30/16,13.27,BAC
7/1/16,13.1,BAC
7/5/16,12.74,BAC
7/6/16,12.86,BAC
7/7/16,13.01,BAC
7/8/16,13.17,BAC
7/11/16,13.21,BAC
7/12/16,13.54,BAC
7/13/16,13.44,BAC
7/14/16,13.65,BAC
7/15/16,13.66,BAC
7/18/16,14.11,BAC
7/19/16,14.26,BAC
7/20/16,14.4,BAC
7/21/16,14.27,BAC
7/22/16,14.38,BAC
7/25/16,14.37,BAC
7/26/16,14.53,BAC
7/27/16,14.63,BAC
7/28/16,14.68,BAC
